time,summary
1728415722.6373043,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20978 > 2404:6800:4009:829::200a:https A / Raw
1728415722.6785092,Ether / IPv6 / TCP 2404:6800:4009:829::200a:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20978 A
1728415722.7384884,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20973 > 2404:6800:4003:c1a::54:https A / Raw
1728415722.8071384,Ether / IPv6 / TCP 2404:6800:4003:c1a::54:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20973 A
1728415722.9176261,Ether / IP / TCP 192.168.57.164:20979 > 54.160.224.39:https A / Raw
1728415723.0569239,Ether / IP / TCP 192.168.57.164:20936 > 34.120.32.134:https A / Raw
1728415723.087061,Ether / IP / TCP 34.120.32.134:https > 192.168.57.164:20936 A
1728415723.1373174,Ether / IP / TCP 54.160.224.39:https > 192.168.57.164:20979 A
1728415723.3783698,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 > 2404:6800:4009:82c::2003:https PA / Raw
1728415723.4386563,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 > 2404:6800:4009:82c::2003:https PA / Raw
1728415723.446226,Ether / IPv6 / TCP 2404:6800:4009:82c::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 A
1728415723.49759,Ether / IPv6 / TCP 2404:6800:4009:82c::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 A
1728415723.49759,Ether / IPv6 / TCP 2404:6800:4009:82c::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 PA / Raw
1728415723.49759,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 > 2404:6800:4009:82c::2003:https A
1728415723.5033233,Ether / IPv6 / TCP 2404:6800:4009:82c::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 PA / Raw
1728415723.5049677,Ether / IPv6 / TCP 2404:6800:4009:82c::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 PA / Raw
1728415723.5071132,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 > 2404:6800:4009:82c::2003:https A
1728415723.5071132,Ether / IPv6 / TCP 2404:6800:4009:82c::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 PA / Raw
1728415723.546797,Ether / IPv6 / TCP 2404:6800:4009:82c::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 PA / Raw
1728415723.546797,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 > 2404:6800:4009:82c::2003:https A
1728415723.546797,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 > 2404:6800:4009:82c::2003:https PA / Raw
1728415723.546797,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 > 2404:6800:4009:82c::2003:https PA / Raw
1728415723.546797,Ether / IPv6 / TCP 2404:6800:4009:82c::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20489 A
1728415723.5574384,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21015 > 2001:4860:4802:36::181:https A / Raw
1728415723.6003964,Ether / IPv6 / TCP 2001:4860:4802:36::181:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21015 A
1728415723.647605,Ether / ARP who has 192.168.57.164 says 192.168.57.113
1728415723.9172952,Ether / ARP is at d8:c0:a6:8d:d4:05 says 192.168.57.164
1728415723.9172952,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20938 > 2404:6800:4009:804::2003:https A / Raw
1728415723.9584885,Ether / IPv6 / TCP 2404:6800:4009:804::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20938 A
1728415723.978422,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20937 > 2404:6800:4009:831::200e:https A / Raw
1728415724.017511,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20939 > 2600:9000:2378:200:19:9934:6a80:93a1:https A / Raw
1728415724.017511,Ether / IPv6 / TCP 2600:9000:2378:200:19:9934:6a80:93a1:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20939 A
1728415724.322671,Ether / IPv6 / TCP 2404:6800:4009:831::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20937 A
1728415724.322671,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20982 > 2404:6800:4009:830::2003:https A / Raw
1728415724.3462827,Ether / IPv6 / TCP 2404:6800:4009:830::2003:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20982 A
1728415724.3473172,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20981 > 2404:6800:4009:811::200e:https A / Raw
1728415724.3871927,Ether / IPv6 / TCP 2404:6800:4009:811::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20981 A
1728415724.6171145,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20941 > 2404:6800:4009:805::200e:https A / Raw
1728415724.657036,Ether / IPv6 / TCP 2404:6800:4009:805::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20941 A
1728415724.8376958,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20940 > 2606:4700:7::a29f:9904:https A / Raw
1728415724.8772035,Ether / IPv6 / TCP 2606:4700:7::a29f:9904:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20940 A
1728415725.0483627,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https PA / Raw
1728415725.087109,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A
1728415726.3477175,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415726.348387,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415726.348387,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415726.348387,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415726.3684566,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https PA / Raw
1728415726.3724709,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 > 2404:6800:4009:802::200e:https A / Raw
1728415726.3770158,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 > 2404:6800:4009:802::200e:https PA / Raw
1728415726.3770158,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 > 2404:6800:4009:802::200e:https PA / Raw
1728415726.3883212,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 > 2404:6800:4009:802::200e:https A / Raw
1728415726.3975108,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 > 2404:6800:4009:802::200e:https PA / Raw
1728415726.3985333,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A
1728415726.4177294,Ether / IPv6 / TCP 2404:6800:4009:802::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 A
1728415726.418685,Ether / IPv6 / TCP 2404:6800:4009:802::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 A
1728415726.418685,Ether / IPv6 / TCP 2404:6800:4009:802::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 A
1728415726.418685,Ether / IPv6 / TCP 2404:6800:4009:802::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 PA / Raw
1728415726.418685,Ether / IPv6 / TCP 2404:6800:4009:802::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 A
1728415726.4684424,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 > 2404:6800:4009:802::200e:https A
1728415726.5467982,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415726.5467982,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415726.5569637,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415726.5613797,Ether / IPv6 / TCP 2404:6800:4009:802::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 PA / Raw
1728415726.5665193,Ether / IPv6 / TCP 2404:6800:4009:802::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 PA / Raw
1728415726.567044,Ether / IPv6 / TCP 2404:6800:4009:802::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 PA / Raw
1728415726.567044,Ether / IPv6 / TCP 2404:6800:4009:802::200e:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 PA / Raw
1728415726.567044,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415726.567044,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 > 2404:6800:4009:802::200e:https A
1728415726.567044,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415726.567044,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415726.567044,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 > 2404:6800:4009:802::200e:https PA / Raw
1728415726.5763836,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20930 > 2404:6800:4009:802::200e:https PA / Raw
1728415726.577754,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 > 2404:6800:4009:829::2003:https PA / Raw
1728415726.5785413,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:21018 > 2404:6800:4009:829::2003:https A / Raw
